Prefixo,Nexthop,as-path,Origem Prefixo
118.184.82.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137443', '58879'])"
77.111.208.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['200077', '53550'])"
2a03:6c80::/32,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['15830', '21371'])"
103.185.30.0/23,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['6315', '400171'])"
172.81.127.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['21859', '62610'])"
195.214.208.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8772', '29632'])"
195.214.208.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['8772', '29632'])"
2401:4900:6340::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65534', '45609'])"
103.255.44.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['133201', '135097'])"
114.118.64.0/21,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '23724'])"
195.122.244.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65000', '8580'])"
197.214.36.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['327708', '37531'])"
2405:1c0:6314::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
74.204.142.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
117.18.13.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
2a00:1178:3::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['35415', '65532'])"
2401:cf80:6003::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
2401:cf80:6087::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
217.194.134.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['133861', '133199'])"
195.252.168.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['200019', '834'])"
117.121.96.0/20,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '4847'])"
43.249.205.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['64050', '38197'])"
2607:fb10:5040::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55095', '2906'])"
2804:d70:460::/44,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['52626', '61945'])"
